 ,Area,Mean,Min,Max,Major,Minor,Angle,%Area
543,381,255,255,255,25.835,18.777,26.795,100
544,284,255,255,255,23.230,15.566,124.022,100
545,31,255,255,255,8.007,4.930,33.189,100
546,330,255,255,255,23.591,17.810,164.078,100
547,304,255,255,255,21.142,18.308,42.033,100
548,97,255,255,255,11.269,10.959,178.445,100
549,256,255,255,255,20.457,15.933,109.511,100
550,236,255,255,255,19.664,15.281,93.382,100
551,394,255,255,255,25.001,20.066,6.038,100
552,329,255,255,255,23.656,17.708,167.630,100
553,223,255,255,255,18.542,15.313,121.510,100
554,420,255,255,255,23.706,22.558,163.334,100
555,36,255,255,255,8.486,5.401,146.102,100
556,354,255,255,255,22.025,20.464,48.370,100
557,222,255,255,255,17.884,15.805,177.224,100
558,260,255,255,255,20.757,15.949,178.889,100
559,30,255,255,255,6.916,5.523,114.523,100
560,480,255,255,255,27.202,22.467,1.813,100
561,227,255,255,255,20.425,14.150,130.331,100
562,464,255,255,255,26.283,22.477,21.277,100
563,327,255,255,255,21.575,19.298,24.983,100
564,471,255,255,255,30.153,19.889,57.209,100
565,226,255,255,255,17.545,16.401,172.983,100
566,274,255,255,255,22.254,15.677,96.281,100
567,231,255,255,255,17.775,16.547,23.721,100
568,243,255,255,255,20.953,14.766,19.604,100
569,243,255,255,255,19.857,15.582,139.462,100
570,209,255,255,255,18.047,14.745,82.742,100
571,200,255,255,255,18.696,13.621,172.235,100
572,239,255,255,255,20.731,14.678,24.010,100
573,254,255,255,255,22.413,14.430,91.738,100
574,287,255,255,255,20.250,18.045,172.326,100
575,493,255,255,255,26.664,23.541,4.288,100
576,253,255,255,255,22.252,14.477,18.894,100
577,276,255,255,255,21.416,16.409,176.004,100
578,305,255,255,255,23.220,16.724,20.164,100
579,247,255,255,255,18.337,17.151,38.264,100
580,285,255,255,255,21.334,17.009,176.902,100
581,308,255,255,255,22.316,17.573,40.519,100
582,382,255,255,255,23.442,20.749,41.405,100
583,391,255,255,255,24.004,20.740,35.818,100
584,326,255,255,255,20.829,19.928,72.131,100
585,252,255,255,255,18.960,16.923,70.794,100
586,337,255,255,255,21.188,20.251,10.118,100
587,245,255,255,255,20.892,14.931,89.426,100
588,218,255,255,255,18.142,15.300,23.958,100
589,261,255,255,255,22.342,14.874,63.328,100
590,241,255,255,255,19.576,15.675,31.334,100
591,216,255,255,255,17.529,15.689,142.983,100
592,315,255,255,255,21.164,18.951,70.248,100
593,218,255,255,255,22.157,12.527,174.140,100
594,260,255,255,255,20.054,16.507,116.300,100
595,370,255,255,255,23.960,19.662,117.071,100
596,327,255,255,255,22.743,18.307,151.484,100
597,424,255,255,255,24.561,21.980,63.603,100
598,234,255,255,255,18.376,16.213,86.493,100
599,241,255,255,255,21.650,14.173,77.181,100
600,225,255,255,255,20.314,14.103,116.921,100
601,97,255,255,255,12.377,9.979,25.980,100
602,208,255,255,255,16.855,15.713,159.944,100
603,279,255,255,255,22.193,16.007,104.743,100
604,388,255,255,255,26.130,18.906,145.398,100
605,251,255,255,255,19.926,16.038,141.024,100
606,279,255,255,255,20.017,17.746,128.525,100
607,393,255,255,255,25.275,19.797,120.213,100
608,285,255,255,255,19.539,18.571,27.174,100
609,334,255,255,255,23.798,17.870,77.493,100
610,337,255,255,255,21.143,20.294,42.528,100
611,338,255,255,255,22.878,18.811,89.071,100
612,481,255,255,255,25.679,23.850,154.355,100
613,275,255,255,255,22.003,15.913,10.106,100
614,404,255,255,255,26.219,19.619,74.662,100
615,374,255,255,255,23.234,20.495,99.155,100
616,139,255,255,255,16.996,10.413,65.958,100
617,271,255,255,255,23.024,14.986,43.149,100
618,426,255,255,255,25.254,21.478,84.446,100
619,284,255,255,255,19.597,18.452,129.564,100
620,267,255,255,255,19.456,17.473,131.968,100
621,307,255,255,255,20.199,19.351,59.569,100
622,488,255,255,255,29.833,20.827,70.793,100
